City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pevek,69.7008,170.3133,-9.76,92,69,1.61,RU,2022-03-31 01:19:29
1,Bangassou,4.7413,22.8184,79.25,51,100,3.69,CF,2022-03-31 01:19:29
2,Punta Arenas,-53.15,-70.9167,50.11,57,75,14.97,CL,2022-03-31 01:19:30
3,Thompson,55.7435,-97.8558,32.16,40,75,2.3,CA,2022-03-31 01:19:30
4,Chokurdakh,70.6333,147.9167,-6.56,95,25,3.69,RU,2022-03-31 01:19:31
5,Yerbogachen,61.2767,108.0108,22.73,91,63,9.28,RU,2022-03-31 01:19:31
6,Hilo,19.7297,-155.09,80.33,78,40,11.5,US,2022-03-31 01:19:32
7,Cherskiy,68.75,161.3,-1.66,85,95,3.83,RU,2022-03-31 01:19:32
8,Ushuaia,-54.8,-68.3,46.06,81,75,9.22,AR,2022-03-31 01:19:32
9,Longyearbyen,78.2186,15.6401,6.64,66,0,3.44,SJ,2022-03-31 01:19:33
10,New Norfolk,-42.7826,147.0587,57.92,55,100,1.99,AU,2022-03-31 01:19:33
11,Vaini,-21.2,-175.2,84.36,79,75,9.22,TO,2022-03-31 01:19:34
12,Hermanus,-34.4187,19.2345,62.17,82,100,2.44,ZA,2022-03-31 01:19:34
13,East London,-33.0153,27.9116,69.75,84,100,8.05,ZA,2022-03-31 01:19:35
14,Bluff,-46.6,168.3333,61.77,81,100,4.65,NZ,2022-03-31 01:17:16
15,Schwandorf,49.3262,12.1093,45.0,94,100,4.65,DE,2022-03-31 01:19:35
16,Lagos,6.5833,3.75,84.52,83,100,6.08,NG,2022-03-31 01:19:09
17,Alice Springs,-23.7,133.8833,72.95,43,10,10.36,AU,2022-03-31 01:14:45
18,Vardo,70.3705,31.1107,27.84,67,100,20.94,NO,2022-03-31 01:19:36
19,Portland,45.5234,-122.6762,57.99,53,75,11.5,US,2022-03-31 01:19:36
20,Gorontalo,0.5412,123.0595,85.35,62,67,3.2,ID,2022-03-31 01:19:37
21,Batemans Bay,-35.7167,150.1833,65.1,87,100,17.83,AU,2022-03-31 01:19:37
22,Jamestown,42.097,-79.2353,53.19,34,0,17.27,US,2022-03-31 01:17:10
23,Deputatskiy,69.3,139.9,-2.52,84,19,2.01,RU,2022-03-31 01:19:38
24,San Rafael,-34.6177,-68.3301,52.45,23,73,5.73,AR,2022-03-31 01:19:38
25,Geraldton,-28.7667,114.6,84.61,58,100,17.27,AU,2022-03-31 01:19:38
26,Nouadhibou,20.931,-17.0347,64.38,77,0,24.16,MR,2022-03-31 01:19:39
27,El Sauzal,31.9,-116.6833,59.41,78,0,6.64,MX,2022-03-31 01:19:39
28,Prince Rupert,54.3161,-130.3201,44.69,81,100,6.91,CA,2022-03-31 01:16:14
29,Anori,-3.7728,-61.6442,72.88,99,100,2.46,BR,2022-03-31 01:19:40
30,Kavieng,-2.5744,150.7967,83.41,76,93,13.27,PG,2022-03-31 01:19:40
31,Canutama,-6.5339,-64.3831,72.86,97,98,2.42,BR,2022-03-31 01:19:41
32,Bambous Virieux,-20.3428,57.7575,78.22,94,75,14.97,MU,2022-03-31 01:19:41
33,Kaitangata,-46.2817,169.8464,66.38,63,74,3.29,NZ,2022-03-31 01:19:42
34,Roald,62.5833,6.1333,34.9,100,100,4.61,NO,2022-03-31 01:19:42
35,Nikolskoye,59.7035,30.7861,24.8,91,26,7.2,RU,2022-03-31 01:19:42
36,Egvekinot,66.3167,-179.1667,-2.88,79,90,11.54,RU,2022-03-31 01:19:43
37,Butaritari,3.0707,172.7902,80.98,70,1,8.55,KI,2022-03-31 01:19:43
38,Dikson,73.5069,80.5464,22.17,88,100,10.4,RU,2022-03-31 01:19:43
39,Matara,5.9485,80.5353,77.94,87,70,1.05,LK,2022-03-31 01:19:44
40,Airai,-8.9266,125.4092,69.98,65,94,1.81,TL,2022-03-31 01:19:44
41,Grindavik,63.8424,-22.4338,37.87,65,100,8.05,IS,2022-03-31 01:19:45
