City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Akdepe,TM,42.0551,59.3788,46.94,32,30,9.42,scattered clouds
1,Yabrud,SY,33.9674,36.6574,42.03,45,1,1.86,clear sky
2,Kaberamaido,UG,1.7389,33.1594,67.69,88,12,3.69,few clouds
3,Yushu,CN,44.8,126.5333,40.57,25,3,15.37,clear sky
4,East London,ZA,-33.0153,27.9116,69.42,84,100,6.76,light rain
5,Moanda,GA,-1.5575,13.2178,71.87,88,28,1.97,scattered clouds
6,Praya,CV,14.9215,-23.5087,68.54,73,20,20.71,few clouds
7,Chistogorskiy,RU,53.9835,87.3843,34.29,81,99,14.74,overcast clouds
8,Hithadhoo,MV,-0.6,73.0833,82.63,69,10,5.84,clear sky
9,Belmonte,BR,-15.8631,-38.8828,76.6,83,12,3.96,few clouds
10,Ushuaia,AR,-54.8,-68.3,46.06,66,40,4.61,scattered clouds
11,Berlevag,NO,70.8578,29.0864,24.8,70,100,17.96,light snow
12,Alice Springs,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
13,Bluff,NZ,-46.6,168.3333,62.29,80,100,8.19,overcast clouds
14,Tuy Hoa,VN,13.0833,109.3,75.45,92,100,10.92,overcast clouds
15,Punta Arenas,CL,-53.15,-70.9167,50.11,57,75,11.5,broken clouds
16,Saint-Philippe,RE,-21.3585,55.7679,76.59,75,88,16.06,overcast clouds
17,Mao,ES,39.8885,4.2658,50.56,93,0,3.44,clear sky
18,Bengkulu,ID,-3.8004,102.2655,84.38,66,44,8.41,scattered clouds
19,Zavet,BG,43.7667,26.6667,50.81,68,100,8.16,overcast clouds
20,Severo-Kurilsk,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
21,Carnarvon,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
22,Ambikapur,IN,23.1167,83.2,91.51,8,9,4.76,clear sky
23,San Cristobal,VE,7.7669,-72.225,68.18,67,100,1.25,overcast clouds
